state,county_name,county_fips,population,uninsured_rate,annual_checkup_rate,obesity_rate,diabetes_rate,hypertension_rate,poor_physical_health_rate,poor_mental_health_rate,food_insecurity_rate,transportation_barrier_rate,longitude,latitude,county_key,hospital_count,rated_hospital_count,average_hospital_rating,emergency_hospital_count,birthing_friendly_count,median_household_income,poverty_rate,hospitals_per_100k,health_burden_score,low_income_score,sdoh_score,access_score,hospital_gap_score,rating_data_status,total_priority_score,priority_tier,recommended_action,primary_drivers,rank
AZ,Apache,04001,65036,14.1,72.0,35.8,17.5,36.0,20.4,21.2,33.8,19.5,-109.48881915611,35.3954681672691,APACHE,4,0,,3,2,41438,30.5,6.1504397564425854,81.96428571428572,100.0,89.28571428571428,60.35714285714286,60.0,Insufficient rating data,75.1,Critical,Deploy mobile clinic and transportation outreach,Social Need and health burden,1
AZ,Santa Cruz,04023,49158,25.7,73.0,34.2,15.5,35.7,16.1,14.7,25.9,12.3,-110.846572235272,31.525984062461,SANTACRUZ,1,0,,1,1,55217,20.2,2.034256885959559,57.85714285714286,78.57142857142857,90.35714285714286,70.35714285714286,60.0,Insufficient rating data,69.4,High,Deploy mobile clinic and transportation outreach,Social Need and care access,2
AZ,Navajo,04017,109175,13.0,71.6,37.6,15.1,40.7,17.5,18.8,24.5,14.1,-110.321421073074,35.3997521187229,NAVAJO,6,1,4.0,3,2,54606,24.7,5.495763682161667,86.78571428571429,85.71428571428571,75.35714285714286,64.28571428571429,25.0,Available,69.0,High,Deploy mobile clinic and transportation outreach,Health Burden and social need,3
AZ,Yuma,04027,213221,24.1,73.7,37.4,14.5,35.3,15.5,15.3,24.4,11.5,-113.905997385394,32.7694427722845,YUMA,2,1,2.0,2,1,62876,15.6,0.9379939124195085,58.57142857142858,50.0,67.14285714285714,76.42857142857143,75.0,Available,67.6,High,Deploy mobile clinic and transportation outreach,Care Access and hospital gap,4
AZ,La Paz,04012,16710,16.6,79.1,33.2,17.5,46.3,18.6,14.0,18.3,9.4,-113.98153747073,33.7292571142703,LAPAZ,2,1,2.0,2,0,49478,17.5,11.968880909634949,73.39285714285714,92.85714285714286,78.21428571428571,21.42857142857143,75.0,Available,61.8,High,Target chronic disease prevention and care coordination,Social Need and hospital gap,5
AZ,Graham,04009,39525,16.0,70.8,36.0,11.4,32.2,14.7,17.5,20.9,11.0,-109.887402691851,32.9327553402921,GRAHAM,1,0,,1,1,67325,17.3,2.5300442757748263,47.14285714285714,42.857142857142854,67.14285714285714,66.78571428571429,60.0,Insufficient rating data,59.0,Elevated,Target chronic disease prevention and care coordination,Social Need and care access,6
AZ,Pinal,04021,484239,13.7,75.4,38.4,12.9,36.2,14.8,16.2,17.1,8.7,-111.344793224721,32.9045145361574,PINAL,5,3,3.33,5,2,80266,11.1,1.0325479773417672,62.142857142857146,7.142857142857142,32.857142857142854,50.0,41.75,Available,48.7,Elevated,Target chronic disease prevention and care coordination,Health Burden and care access,7
AZ,Mohave,04015,223682,13.1,75.0,32.7,14.2,42.0,16.5,15.1,15.8,8.2,-113.758099268811,35.7044739765542,MOHAVE,5,4,2.5,5,3,57684,16.1,2.23531620783076,58.57142857142857,71.42857142857143,42.857142857142854,31.07142857142857,62.5,Available,48.4,Elevated,Form hospital quality and referral partnership,Hospital Gap and health burden,8
AZ,Cochise,04003,124640,14.2,75.3,31.2,13.7,39.0,15.6,15.2,16.7,8.7,-109.751384831901,31.8794588523568,COCHISE,4,1,2.0,4,1,59742,15.4,3.209242618741977,47.857142857142854,64.28571428571429,49.28571428571429,31.785714285714285,75.0,Available,48.3,Elevated,Form hospital quality and referral partnership,Hospital Gap and social need,9
AZ,Gila,04007,54003,12.1,77.5,31.4,15.0,39.3,17.2,15.8,17.5,9.4,-110.812096582079,33.7999645115514,GILA,3,2,3.0,2,1,61986,16.9,5.555246930726071,61.785714285714285,57.14285714285714,48.57142857142857,28.214285714285715,50.0,Available,48.3,Elevated,Target chronic disease prevention and care coordination,Health Burden and hospital gap,10
