stateabbr,countyname,countyfips,totalpopulation,access2_crudeprev,checkup_crudeprev,obesity_crudeprev,diabetes_crudeprev,bphigh_crudeprev,phlth_crudeprev,mhlth_crudeprev,foodinsecu_crudeprev,lacktrpt_crudeprev,longitude,latitude
AZ,Apache,04001,65036,14.1,72.0,35.8,17.5,36.0,20.4,21.2,33.8,19.5,-109.48881915611,35.3954681672691
AZ,Cochise,04003,124640,14.2,75.3,31.2,13.7,39.0,15.6,15.2,16.7,8.7,-109.751384831901,31.8794588523568
AZ,Coconino,04005,144472,10.1,68.6,23.6,9.3,27.0,12.7,18.4,16.2,10.1,-111.770577149727,35.8387928971913
AZ,Gila,04007,54003,12.1,77.5,31.4,15.0,39.3,17.2,15.8,17.5,9.4,-110.812096582079,33.7999645115514
AZ,Graham,04009,39525,16.0,70.8,36.0,11.4,32.2,14.7,17.5,20.9,11.0,-109.887402691851,32.9327553402921
AZ,Greenlee,04011,9369,16.1,71.2,33.1,10.6,29.8,13.2,15.9,16.3,8.7,-109.240185682696,33.215200364114
AZ,La Paz,04012,16710,16.6,79.1,33.2,17.5,46.3,18.6,14.0,18.3,9.4,-113.98153747073,33.7292571142703
AZ,Maricopa,04013,4585871,12.9,73.3,30.4,10.6,30.8,11.8,14.9,15.2,8.3,-112.491401814525,33.3490920459607
AZ,Mohave,04015,223682,13.1,75.0,32.7,14.2,42.0,16.5,15.1,15.8,8.2,-113.758099268811,35.7044739765542
AZ,Navajo,04017,109175,13.0,71.6,37.6,15.1,40.7,17.5,18.8,24.5,14.1,-110.321421073074,35.3997521187229
AZ,Pima,04019,1063162,12.7,75.7,31.1,11.0,34.1,13.6,16.3,14.5,8.7,-111.790179841763,32.0975237350697
AZ,Pinal,04021,484239,13.7,75.4,38.4,12.9,36.2,14.8,16.2,17.1,8.7,-111.344793224721,32.9045145361574
AZ,Santa Cruz,04023,49158,25.7,73.0,34.2,15.5,35.7,16.1,14.7,25.9,12.3,-110.846572235272,31.525984062461
AZ,Yavapai,04025,249081,10.6,77.1,27.0,12.1,38.0,15.0,13.8,11.5,6.5,-112.553640853115,34.5996977529402
AZ,Yuma,04027,213221,24.1,73.7,37.4,14.5,35.3,15.5,15.3,24.4,11.5,-113.905997385394,32.7694427722845
